#SUBMITTED ID;GO_BIOLOGICAL_PROCESS;GO_CELLULAR_COMPONENT;GO_MOLECULAR_FUNCTION;NAME;SYMBOL;JM;Pathway
FBgn0283427;"fatty acid biosynthetic process ; GO:0006633 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000196555 <newline> regulation of lipid storage ; GO:0010883 | acts_upstream_of_positive_effect inferred from mutant phenotype <newline> response to sucrose ; GO:0009744 | involved_in inferred from mutant phenotype <newline> intracellular triglyceride homeostasis ; GO:0035356 | involved_in inferred from mutant phenotype <newline> triglyceride biosynthetic process ; GO:0019432 | involved_in inferred from mutant phenotype <newline> biosynthetic process ; GO:0009058 | involved_in inferred from electronic annotation with InterPro:IPR001031 <newline> lipid biosynthetic process ; GO:0008610 | involved_in inferred from mutant phenotype <newline> glycogen metabolic process ; GO:0005977 | involved_in inferred from mutant phenotype <newline> cellular response to sucrose stimulus ; GO:0071329 | involved_in inferred from direct assay <newline> fatty acid biosynthetic process ; GO:0006633 | involved_in inferred from electronic annotation with InterPro:IPR018201 <newline> fatty acid biosynthetic process ; GO:0006633 | <newline> regulation of lipid storage ; GO:0010883 | <newline> response to sucrose ; GO:0009744 | <newline> intracellular triglyceride homeostasis ; GO:0035356 | <newline> triglyceride biosynthetic process ; GO:0019432 | <newline> biosynthetic process ; GO:0009058 | <newline> lipid biosynthetic process ; GO:0008610 | <newline> glycogen metabolic process ; GO:0005977 | <newline> cellular response to sucrose stimulus ; GO:0071329 |";-;"phosphopantetheine binding ; GO:0031177 | enables inferred from electronic annotation with InterPro:IPR020806 <newline> transferase activity ; GO:0016740 | enables inferred from electronic annotation with InterPro:IPR001227 <newline> 3-oxoacyl-[acyl-carrier-protein] synthase activity ; GO:0004315 | enables inferred from electronic annotation with InterPro:IPR018201 <newline> fatty acid synthase activity ; GO:0004312 | enables inferred from biological aspect of ancestor with PANTHER:PTN000196555 <newline> fatty acid synthase activity ; GO:0004312 | enables inferred from direct assay <newline> serine hydrolase activity ; GO:0017171 | enables inferred from high throughput direct assay <newline> acyltransferase activity ; GO:0016746 | enables inferred from electronic annotation with InterPro:IPR016039 <newline> [acyl-carrier-protein] S-acetyltransferase activity ; GO:0004313 | enables inferred from sequence or structural similarity with UniProtKB:P49327 <newline> oxidoreductase activity ; GO:0016491 | enables inferred from electronic annotation with InterPro:IPR020843 <newline> phosphopantetheine binding ; GO:0031177 | <newline> transferase activity ; GO:0016740 | <newline> 3-oxoacyl-[acyl-carrier-protein] synthase activity ; GO:0004315 | <newline> fatty acid synthase activity ; GO:0004312 | <newline> serine hydrolase activity ; GO:0017171 | <newline> acyltransferase activity ; GO:0016746 | <newline> [acyl-carrier-protein] S-acetyltransferase activity ; GO:0004313 | <newline> oxidoreductase activity ; GO:0016491 |";Fatty acid synthase 1;FASN1;;Lipid
FBgn0029155;"pyruvate metabolic process ; GO:0006090 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000601050 <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> malate metabolic process ; GO:0006108 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000601050 <newline> malate metabolic process ; GO:0006108 | involved_in inferred from sequence or structural similarity with UniProtKB:Q16798 <newline> pyruvate metabolic process ; GO:0006090 | involved_in inferred from sequence or structural similarity with UniProtKB:Q16798 <newline> pyruvate metabolic process ; GO:0006090 | <newline> glucose homeostasis ; GO:0042593 | <newline> malate metabolic process ; GO:0006108 |";"mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN001157886 <newline> mitochondrion ; GO:0005739 |";"NAD binding ; GO:0051287 | enables inferred from electronic annotation with InterPro:IPR012302 <newline> malate dehydrogenase (decarboxylating) (NADP+) activity ; GO:0004473 | enables inferred from sequence or structural similarity with UniProtKB:Q16798 <newline> malate dehydrogenase (decarboxylating) (NAD+) activity ; GO:0004471 | enables inferred from electronic annotation with InterPro:IPR001891, InterPro:IPR012301, InterPro:IPR015884, InterPro:IPR037062 <newline> malic enzyme activity ; GO:0004470 | enables inferred from electronic annotation with InterPro:IPR001891 <newline> malate dehydrogenase (decarboxylating) (NADP+) activity ; GO:0004473 | enables inferred from biological aspect of ancestor with PANTHER:PTN000601052 <newline> NAD binding ; GO:0051287 | <newline> malate dehydrogenase (decarboxylating) (NADP+) activity ; GO:0004473 | <newline> malate dehydrogenase (decarboxylating) (NAD+) activity ; GO:0004471 | <newline> malic enzyme activity ; GO:0004470 |";Malic enzyme b;Men-b;;NADH
FBgn0026718;"phospholipid biosynthetic process ; GO:0008654 | involved_in inferred from electronic annotation with InterPro:IPR004552 <newline> behavioral response to ethanol ; GO:0048149 | involved_in inferred from mutant phenotype <newline> phosphatidic acid biosynthetic process ; GO:0006654 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000046632 <newline> phospholipid biosynthetic process ; GO:0008654 | <newline> behavioral response to ethanol ; GO:0048149 | <newline> phosphatidic acid biosynthetic process ; GO:0006654 |";"membrane ; GO:0016020 | located_in inferred from electronic annotation with InterPro:IPR004552 <newline> endoplasmic reticulum ; GO:0005783 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000046633 <newline> membrane ; GO:0016020 | <newline> endoplasmic reticulum ; GO:0005783 |";"1-acylglycerol-3-phosphate O-acyltransferase activity ; GO:0003841 | enables inferred from electronic annotation with InterPro:IPR004552 <newline> 1-acylglycerol-3-phosphate O-acyltransferase activity ; GO:0003841 | enables inferred from biological aspect of ancestor with PANTHER:PTN000046632 <newline> acyltransferase activity ; GO:0016746 | enables inferred from electronic annotation with InterPro:IPR002123 <newline> 1-acylglycerol-3-phosphate O-acyltransferase activity ; GO:0003841 | <newline> acyltransferase activity ; GO:0016746 |";1-Acylglycerol-3-phosphate O-acyltransferase 2;Agpat2;;Phospholipid
FBgn0050109;"phospholipid translocation ; GO:0045332 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN005302567 <newline> phospholipid translocation ; GO:0045332 |";"nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN005302567 <newline> mitochondrial intermembrane space ; GO:0005758 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN005302567 <newline> nucleus ; GO:0005634 | <newline> mitochondrial intermembrane space ; GO:0005758 |";"phosphatidic acid transfer activity ; GO:1990050 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN005302567 <newline> phosphatidic acid transfer activity ; GO:1990050 |";-;CG30109;;Phospholipid
FBgn0052699;"phospholipid biosynthetic process ; GO:0008654 | involved_in inferred from sequence or structural similarity with UniProtKB:Q3TFD2 <newline> lipid modification ; GO:0030258 | involved_in inferred from mutant phenotype <newline> phospholipid biosynthetic process ; GO:0008654 | <newline> lipid modification ; GO:0030258 |";"endoplasmic reticulum ; GO:0005783 | located_in inferred from sequence or structural similarity with UniProtKB:Q3TFD2 <newline> lipid droplet ; GO:0005811 | located_in inferred from direct assay <newline> endoplasmic reticulum ; GO:0005783 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN001128751 <newline> Golgi apparatus ; GO:0005794 | located_in inferred from sequence or structural similarity with UniProtKB:Q3TFD2 <newline> endoplasmic reticulum ; GO:0005783 | <newline> lipid droplet ; GO:0005811 | <newline> Golgi apparatus ; GO:0005794 |";"lysophosphatidic acid acyltransferase activity ; GO:0042171 | enables inferred from biological aspect of ancestor with PANTHER:PTN001128751 <newline> acyltransferase activity ; GO:0016746 | enables inferred from electronic annotation with InterPro:IPR002123 <newline> 1-acylglycerophosphocholine O-acyltransferase activity ; GO:0047184 | enables inferred from sequence or structural similarity with UniProtKB:Q3TFD2 <newline> lysophospholipid acyltransferase activity ; GO:0071617 | enables inferred from mutant phenotype <newline> calcium ion binding ; GO:0005509 | enables inferred from electronic annotation with InterPro:IPR002048 <newline> O-acyltransferase activity ; GO:0008374 | enables inferred from electronic annotation with InterPro:IPR045252 <newline> lysophosphatidic acid acyltransferase activity ; GO:0042171 | <newline> acyltransferase activity ; GO:0016746 | <newline> 1-acylglycerophosphocholine O-acyltransferase activity ; GO:0047184 | <newline> lysophospholipid acyltransferase activity ; GO:0071617 | <newline> calcium ion binding ; GO:0005509 | <newline> O-acyltransferase activity ; GO:0008374 |";Lysophosphatidylcholine acyltransferase;LPCAT;;Phospholipid
FBgn0013680;"mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred from electronic annotation with InterPro:IPR003917, InterPro:IPR010933 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN001865432 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred by curator from GO:0005747 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 |";"mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03891 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from mutant phenotype <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN001865432 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from direct assay <newline> mitochondrial respiratory chain complex I ; GO:0005747 |";"NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from biological aspect of ancestor with PANTHER:PTN001865432 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from electronic annotation with InterPro:IPR003917, InterPro:IPR010933 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 |";mitochondrial NADH-ubiquinone oxidoreductase chain 2;mt:ND2;;Respiration
FBgn0013681;"mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred by curator from GO:0005747 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 |";"mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000114846 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03897 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from direct assay <newline> mitochondrial respiratory chain complex I ; GO:0005747 |";"NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from biological aspect of ancestor with PANTHER:PTN000114844 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from electronic annotation with InterPro:IPR000440 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 |";mitochondrial NADH-ubiquinone oxidoreductase chain 3;mt:ND3;;Respiration
FBgn0013684;"mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred by curator from GO:0005747 <newline> electron transport coupled proton transport ; GO:0015990 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000511978 <newline> ATP synthesis coupled electron transport ; GO:0042773 | involved_in inferred from electronic annotation with InterPro:IPR003945 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | <newline> electron transport coupled proton transport ; GO:0015990 | <newline> ATP synthesis coupled electron transport ; GO:0042773 |";"mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from direct assay <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000511979 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03915 <newline> mitochondrial respiratory chain complex I ; GO:0005747 |";"NADH dehydrogenase activity ; GO:0003954 | enables inferred from biological aspect of ancestor with PANTHER:PTN000511978 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from electronic annotation with InterPro:IPR003945 <newline> NADH dehydrogenase activity ; GO:0003954 | <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 |";mitochondrial NADH-ubiquinone oxidoreductase chain 5;mt:ND5;;Respiration
FBgn0014028;"respiratory electron transport chain ; GO:0022904 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000229864 <newline> mitochondrial electron transport, succinate to ubiquinone ; GO:0006121 | involved_in inferred from direct assay <newline> tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from electronic annotation with InterPro:IPR004489 <newline> aerobic respiration ; GO:0009060 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000229864 <newline> respiratory electron transport chain ; GO:0022904 | <newline> mitochondrial electron transport, succinate to ubiquinone ; GO:0006121 | <newline> tricarboxylic acid cycle ; GO:0006099 | <newline> aerobic respiration ; GO:0009060 |";"mitochondrial membrane ; GO:0031966 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000229867 <newline> mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) ; GO:0005749 | part_of inferred from sequence or structural similarity with UniProtKB:Q007T0 <newline> mitochondrial inner membrane ; GO:0005743 | located_in inferred from sequence or structural similarity with UniProtKB:Q007T0 <newline> mitochondrial membrane ; GO:0031966 | <newline> mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) ; GO:0005749 | <newline> mitochondrial inner membrane ; GO:0005743 |";"electron transfer activity ; GO:0009055 | enables inferred from electronic annotation with InterPro:IPR025192 <newline> oxidoreductase activity ; GO:0016491 | enables inferred from electronic annotation with InterPro:IPR004489 <newline> iron-sulfur cluster binding ; GO:0051536 | enables inferred from electronic annotation with InterPro:IPR001041, InterPro:IPR009051, InterPro:IPR025192, InterPro:IPR036010 <newline> succinate dehydrogenase (ubiquinone) activity ; GO:0008177 | enables inferred from sequence or structural similarity with UniProtKB:P21801 <newline> 4 iron, 4 sulfur cluster binding ; GO:0051539 | enables inferred from sequence or structural similarity with UniProtKB:Q007T0 <newline> ubiquinone binding ; GO:0048039 | enables inferred from sequence or structural similarity with UniProtKB:Q007T0 <newline> 2 iron, 2 sulfur cluster binding ; GO:0051537 | enables inferred from sequence or structural similarity with UniProtKB:Q007T0 <newline> 3 iron, 4 sulfur cluster binding ; GO:0051538 | enables inferred from sequence or structural similarity with UniProtKB:Q007T0 <newline> 2 iron, 2 sulfur cluster binding ; GO:0051537 | enables inferred from electronic annotation with InterPro:IPR006058 <newline> electron transfer activity ; GO:0009055 | <newline> oxidoreductase activity ; GO:0016491 | <newline> iron-sulfur cluster binding ; GO:0051536 | <newline> succinate dehydrogenase (ubiquinone) activity ; GO:0008177 | <newline> 4 iron, 4 sulfur cluster binding ; GO:0051539 | <newline> ubiquinone binding ; GO:0048039 | <newline> 2 iron, 2 sulfur cluster binding ; GO:0051537 | <newline> 3 iron, 4 sulfur cluster binding ; GO:0051538 |";Succinate dehydrogenase, subunit B (iron-sulfur);SdhB;;Respiration
FBgn0017566;"ATP synthesis coupled electron transport ; GO:0042773 | involved_in inferred from electronic annotation with InterPro:IPR000283 <newline> cellular respiration ; GO:0045333 | involved_in inferred from sequence or structural similarity with HGNC:7707 <newline> reactive oxygen species metabolic process ; GO:0072593 | involved_in inferred from sequence or structural similarity with HGNC:7707 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred by curator from GO:0005747 <newline> ATP synthesis coupled electron transport ; GO:0042773 | <newline> cellular respiration ; GO:0045333 | <newline> reactive oxygen species metabolic process ; GO:0072593 | <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 |";"mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from direct assay <newline> membrane ; GO:0016020 | located_in inferred from electronic annotation with InterPro:IPR000283 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P28331 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | <newline> membrane ; GO:0016020 |";"oxidoreductase activity, acting on NAD(P)H ; GO:0016651 | enables inferred from electronic annotation with InterPro:IPR010228, InterPro:IPR015405 <newline> oxidoreductase activity ; GO:0016491 | enables inferred from electronic annotation with InterPro:IPR006656, InterPro:IPR006963, InterPro:IPR019574 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from electronic annotation with InterPro:IPR000283 <newline> iron-sulfur cluster binding ; GO:0051536 | enables inferred from electronic annotation with InterPro:IPR001041, InterPro:IPR010228, InterPro:IPR015405, InterPro:IPR036010 inferred from electronic annotation with InterPro:IPR001041, InterPro:IPR010228, InterPro:IPR036010 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | contributes_to inferred from sequence or structural similarity with UniProtKB:P28331 <newline> oxidoreductase activity, acting on NAD(P)H ; GO:0016651 | <newline> oxidoreductase activity ; GO:0016491 | <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | <newline> iron-sulfur cluster binding ; GO:0051536 |";NADH dehydrogenase (ubiquinone) 75 kDa subunit;ND-75;;Respiration
FBgn0021906;"mitochondrial electron transport, ubiquinol to cytochrome c ; GO:0006122 | involved_in inferred from sequence or structural similarity with UniProtKB:P08067 <newline> mitochondrial electron transport, ubiquinol to cytochrome c ; GO:0006122 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000015359 <newline> mitochondrial electron transport, ubiquinol to cytochrome c ; GO:0006122 |";"mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> membrane ; GO:0016020 | located_in inferred from electronic annotation with InterPro:IPR005805 <newline> mitochondrial respiratory chain complex III ; GO:0005750 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000015359 <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> mitochondrial respiratory chain complex III ; GO:0005750 | part_of inferred from sequence or structural similarity with UniProtKB:P08067 <newline> mitochondrion ; GO:0005739 | <newline> membrane ; GO:0016020 | <newline> mitochondrial respiratory chain complex III ; GO:0005750 |";"ubiquinol-cytochrome-c reductase activity ; GO:0008121 | enables inferred from sequence or structural similarity with UniProtKB:P08067 <newline> ubiquinol-cytochrome-c reductase activity ; GO:0008121 | enables inferred from electronic annotation with InterPro:IPR004192, InterPro:IPR006317, InterPro:IPR037008 <newline> 2 iron, 2 sulfur cluster binding ; GO:0051537 | enables inferred from electronic annotation with InterPro:IPR005805, InterPro:IPR014349, InterPro:IPR017941, InterPro:IPR036922 <newline> oxidoreductase activity ; GO:0016491 | enables inferred from biological aspect of ancestor with PANTHER:PTN000015358 <newline> ubiquinol-cytochrome-c reductase activity ; GO:0008121 | <newline> 2 iron, 2 sulfur cluster binding ; GO:0051537 | <newline> oxidoreductase activity ; GO:0016491 |";Rieske iron-sulfur protein;RFeSP;;Respiration
FBgn0025839;"ATP synthesis coupled electron transport ; GO:0042773 | involved_in inferred from electronic annotation with InterPro:IPR009947 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000968153 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred by curator from GO:0005747 <newline> ATP synthesis coupled electron transport ; GO:0042773 | <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 |";"mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from direct assay <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000968153 <newline> mitochondrial inner membrane ; GO:0005743 | located_in inferred from electronic annotation with InterPro:IPR009947 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:O95182 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | <newline> mitochondrial inner membrane ; GO:0005743 |";-;NADH dehydrogenase (ubiquinone) B14.5 A subunit;ND-B14.5A;;Respiration
FBgn0031436;"mitochondrial ATP synthesis coupled electron transport ; GO:0042775 | involved_in inferred from sequence or structural similarity with UniProtKB:Q9UI09 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred by curator from GO:0005747 <newline> mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from electronic annotation with InterPro:IPR007763 <newline> response to oxidative stress ; GO:0006979 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000308146 <newline> mitochondrial ATP synthesis coupled electron transport ; GO:0042775 | <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | <newline> mitochondrial respiratory chain complex I assembly ; GO:0032981 | <newline> response to oxidative stress ; GO:0006979 |";"mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000308146 <newline> membrane ; GO:0016020 | located_in inferred from electronic annotation with InterPro:IPR007763 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from direct assay <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:Q9UI09 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | <newline> membrane ; GO:0016020 |";-;NADH dehydrogenase (ubiquinone) B17.2 subunit;ND-B17.2;;Respiration
FBgn0032833;"mitochondrial electron transport, cytochrome c to oxygen ; GO:0006123 | involved_in inferred from electronic annotation with InterPro:IPR004203, InterPro:IPR036639 <newline> mitochondrial electron transport, cytochrome c to oxygen ; GO:0006123 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000076140 <newline> mitochondrial electron transport, cytochrome c to oxygen ; GO:0006123 | involved_in inferred from sequence or structural similarity with UniProtKB:P00425 <newline> mitochondrial electron transport, cytochrome c to oxygen ; GO:0006123 |";"mitochondrial respiratory chain complex IV ; GO:0005751 | part_of inferred from electronic annotation with InterPro:IPR004203, InterPro:IPR036639 <newline> mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000076140 <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | part_of inferred from sequence or structural similarity with UniProtKB:P00425 <newline> mitochondrial crista ; GO:0030061 | located_in inferred from mutant phenotype <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | <newline> mitochondrion ; GO:0005739 | <newline> mitochondrial crista ; GO:0030061 |";-;Cytochrome c oxidase subunit 4;COX4;;Respiration
FBgn0001248;"cellular response to oxidative stress ; GO:0034599 | involved_in inferred from mutant phenotype <newline> isocitrate metabolic process ; GO:0006102 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000214284 <newline> NADP metabolic process ; GO:0006739 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000214284 <newline> isocitrate metabolic process ; GO:0006102 | involved_in inferred from electronic annotation with InterPro:IPR004790 <newline> isocitrate metabolic process ; GO:0006102 | involved_in inferred from direct assay <newline> cellular response to oxidative stress ; GO:0034599 | <newline> isocitrate metabolic process ; GO:0006102 | <newline> NADP metabolic process ; GO:0006739 |";"mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000214284 <newline> cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000930158 <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> peroxisome ; GO:0005777 | located_in inferred from sequence or structural similarity with HGNC:5382 <newline> peroxisome ; GO:0005777 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000930158 <newline> mitochondrion ; GO:0005739 | <newline> cytosol ; GO:0005829 | <newline> peroxisome ; GO:0005777 |";"isocitrate dehydrogenase (NADP+) activity ; GO:0004450 | enables inferred from mutant phenotype <newline> isocitrate dehydrogenase (NADP+) activity ; GO:0004450 | enables inferred from biological aspect of ancestor with PANTHER:PTN000214284 <newline> magnesium ion binding ; GO:0000287 | enables inferred from electronic annotation with InterPro:IPR019818 <newline> isocitrate dehydrogenase (NADP+) activity ; GO:0004450 | enables inferred from direct assay <newline> NAD binding ; GO:0051287 | enables inferred from electronic annotation with InterPro:IPR019818 <newline> oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616 | enables inferred from electronic annotation with InterPro:IPR019818 <newline> isocitrate dehydrogenase (NADP+) activity ; GO:0004450 | enables inferred from electronic annotation with InterPro:IPR004790 <newline> isocitrate dehydrogenase (NADP+) activity ; GO:0004450 | <newline> magnesium ion binding ; GO:0000287 | <newline> NAD binding ; GO:0051287 | <newline> oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616 |";Isocitrate dehydrogenase;Idh;;TCA
FBgn0004888;"tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000122012 <newline> tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from mutant phenotype <newline> tricarboxylic acid cycle ; GO:0006099 |";"succinate-CoA ligase complex (ADP-forming) ; GO:0009361 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000122012 <newline> mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000122014 <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> succinate-CoA ligase complex (ADP-forming) ; GO:0009361 | <newline> mitochondrion ; GO:0005739 |";"catalytic activity ; GO:0003824 | enables inferred from electronic annotation with InterPro:IPR005810, InterPro:IPR005811 <newline> succinate-CoA ligase activity ; GO:0004774 | enables inferred from mutant phenotype <newline> succinate-CoA ligase (ADP-forming) activity ; GO:0004775 | enables inferred from biological aspect of ancestor with PANTHER:PTN000122012 <newline> succinate-CoA ligase (GDP-forming) activity ; GO:0004776 | enables inferred from biological aspect of ancestor with PANTHER:PTN000122012 <newline> catalytic activity ; GO:0003824 | <newline> succinate-CoA ligase activity ; GO:0004774 | <newline> succinate-CoA ligase (ADP-forming) activity ; GO:0004775 | <newline> succinate-CoA ligase (GDP-forming) activity ; GO:0004776 |";Succinyl-coenzyme A synthetase alpha subunit 1;Scsalpha1;;TCA
FBgn0027291;"tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from electronic annotation with InterPro:IPR004434 <newline> isocitrate metabolic process ; GO:0006102 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000216787 <newline> tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000216787 <newline> tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from sequence or structural similarity with UniProtKB:P56471 <newline> tricarboxylic acid cycle ; GO:0006099 | <newline> isocitrate metabolic process ; GO:0006102 |";"mitochondrion ; GO:0005739 | located_in inferred from sequence or structural similarity with UniProtKB:P56471 <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000216786 <newline> mitochondrion ; GO:0005739 |";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616 | enables inferred from electronic annotation with InterPro:IPR019818 <newline> magnesium ion binding ; GO:0000287 | enables inferred from electronic annotation with InterPro:IPR019818 <newline> isocitrate dehydrogenase (NAD+) activity ; GO:0004449 | enables inferred from sequence or structural similarity with UniProtKB:P56471 <newline> isocitrate dehydrogenase (NAD+) activity ; GO:0004449 | enables inferred from biological aspect of ancestor with PANTHER:PTN000216787 <newline> NAD binding ; GO:0051287 | enables inferred from electronic annotation with InterPro:IPR019818 <newline> oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616 | <newline> magnesium ion binding ; GO:0000287 | <newline> isocitrate dehydrogenase (NAD+) activity ; GO:0004449 | <newline> NAD binding ; GO:0051287 |";Isocitrate dehydrogenase 3a;Idh3a;;TCA
